x,c1,c2,c3,dc1,dc2,dc3,flux1,flux2,flux3
0.25,-1.1224804594348318e-11,0.24999999993345706,0.14999999997966587,1.7259724904448905e-09,-6.759524616173156e-06,1.4276092618553923e-05,1.4353681909673756e-13,8.550601077877919e-13,2.613100968246162e-13
0.25125,-9.257744703921832e-12,0.2499999999451301,0.1499999999832214,1.4302282672800423e-09,-8.637236948281016e-06,1.592981143740467e-05,1.1894857046640673e-13,7.08417399394863e-13,2.1664391461339955e-13
0.25249999999999995,-7.628471305850902e-12,0.24999999995479602,0.14999999998616786,1.1840580684509207e-09,-4.501769760758461e-06,1.581987754713769e-05,9.848082340314089e-14,5.863853239779192e-13,1.794446501113252e-13
0.2537499999999999,-6.280235310814472e-12,0.2499999999627925,0.14999999998860725,9.793444091237978e-10,-8.125585271984408e-07,1.746652334973944e-05,8.145934396580608e-14,4.849298271963868e-13,1.484949906094256e-13
0.2550000000000001,-5.16560001389614e-12,0.2499999999694019,0.14999999999062494,8.092726102286061e-10,-4.535276612728121e-06,1.6773384437865436e-05,6.73174086361549e-14,4.0066023589135673e-13,1.2276942309985447e-13
0.2562500000000001,-4.244941088115104e-12,0.24999999997485964,0.1499999999922923,6.681175145057229e-10,-3.502339031499226e-06,1.7048189523055754e-05,5.557900733244683e-14,3.307328733798113e-13,1.0140636420852198e-13
0.25750000000000006,-3.4852063554442303e-12,0.2499999999793624,0.14999999999366875,5.51071262068297e-10,-8.750484484066332e-06,1.52893399893118e-05,4.5844906070101364e-14,2.727598476942579e-13,8.368451244466988e-14
0.25875000000000004,-2.8588494909235642e-12,0.24999999998307376,0.14999999999480398,4.5410732757718395e-10,-9.674671765834517e-06,1.4144055716377183e-05,3.7780561439397825e-14,2.247440688413192e-13,6.899746399224803e-14
0.26,-2.3429357617717075e-12,0.2499999999861301,0.14999999999573946,3.738559632532302e-10,-2.0335163481738795e-06,1.7753219558203125e-05,3.110592756849574e-14,1.8501174030294172e-13,5.68363030251091e-14
0.26125,-1.9183861099695213e-12,0.24999999998864458,0.14999999999650956,3.075038312667282e-10,-4.500072483336161e-06,1.5882067994304985e-05,2.5586782095067382e-14,1.5216623273916953e-13,4.677679077413861e-14
0.26249999999999996,-1.569339497231204e-12,0.24999999999071146,0.14999999999714295,2.5269488821605716e-10,-4.577401812838963e-06,1.74145190240822e-05,2.1027360716173155e-14,1.2503850559120106e-13,3.8463648932562617e-14
0.26374999999999993,-1.2826369701090918e-12,0.24999999999240882,0.14999999999766336,2.074582143782853e-10,-3.840874543546566e-06,1.7540690486107694e-05,1.726439004769547e-14,1.0265451162727533e-13,3.160064918072944e-14
0.2650000000000001,-1.0473663619200637e-12,0.24999999999380146,0.14999999999809058,1.701624749326304e-10,-7.738927080430734e-06,1.5219385859346791e-05,1.4161758902202694e-14,8.420208454096255e-14,2.5940066067375662e-14
0.2662500000000001,-8.544742982457924e-13,0.24999999999494305,0.14999999999844096,1.394443593271999e-10,-3.230032222596622e-06,1.8030527151811964e-05,1.1605939058518621e-14,6.900470993220738e-14,2.1275547296139945e-14
0.26750000000000007,-6.964752044276657e-13,0.24999999999587794,0.1499999999987281,1.1416671986465185e-10,-5.443789030478102e-06,1.5822961526760195e-05,9.502576122064835e-15,5.650054209216352e-14,1.7435164423318245e-14
0.26875000000000004,-5.671733604080462e-13,0.2499999999966428,0.14999999999896313,9.33839726331492e-11,-5.782356208827632e-06,1.4469208358269541e-05,7.773163958302442e-15,4.6222730504252605e-14,1.4276892168485374e-14
0.27,-4.614595650009203e-13,0.24999999999726807,0.14999999999915536,7.631217928452921e-11,-3.215117714413716e-06,1.7512851884810216e-05,6.3526348325192004e-15,3.7781482803422655e-14,1.1681718092848478e-14
0.27125,-3.7510875418028576e-13,0.24999999999777875,0.14999999999931246,6.230423561561638e-11,-6.734409912416819e-06,1.6729210314283037e-05,5.186898886440645e-15,3.0855455343536787e-14,9.551096025184259e-15
0.27249999999999996,-3.0464111369359425e-13,0.24999999999819542,0.14999999999944072,5.081904362157157e-11,-3.884513585265799e-06,1.7806054549480525e-05,4.231181512339901e-15,2.51783715404795e-14,7.803573759401711e-15
0.27374999999999994,-2.4718927654292304e-13,0.2499999999985351,0.1499999999995453,4.141398351344315e-11,-5.368655135208275e-06,1.5597081458202088e-05,3.448400231162013e-15,2.0529100988597615e-14,6.372093824813468e-15
0.27500000000000013,-2.003894446549625e-13,0.2499999999988117,0.14999999999963057,3.371834523678059e-11,-5.8087025941666595e-06,1.6218399331186722e-05,2.80782753219556e-15,1.672568507304897e-14,5.199698310809312e-15
0.2762500000000001,-1.623051559610983e-13,0.2499999999990368,0.14999999999969996,2.742520639425244e-11,-8.960803619148832e-06,1.4532603089580562e-05,2.284168562654932e-15,1.3616522839820999e-14,4.241263590332133e-15
0.2775000000000001,-1.3134331006007785e-13,0.24999999999921982,0.14999999999975655,2.2283839043354655e-11,-4.826320644909578e-06,1.67479033506304e-05,1.8565080661470907e-15,1.1077116654489788e-14,3.45602713114343e-15
0.27875000000000005,-1.0619827779772824e-13,0.2499999999993685,0.14999999999980254,1.8090085973396938e-11,-4.929091030054974e-06,1.5751077520219985e-05,1.5076207435069925e-15,9.004796908129666e-15,2.81502772481177e-15
0.28,-8.579202948855994e-14,0.24999999999948916,0.14999999999983996,1.4674924776886052e-11,-6.732153866336555e-06,1.4569589268414728e-05,1.2232086576979623e-15,7.315648087313733e-15,2.2912245017936257e-15
0.28125,-6.924618382436938e-14,0.249999999999587,0.1499999999998703,1.188996587720994e-11,-4.044731864469972e-06,1.7202700327499794e-05,9.915668183992967e-16,5.939795530429638e-15,1.864612630964032e-15
0.2825,-5.585041594014419e-14,0.24999999999966624,0.149999999999895,9.620009332565393e-12,-2.028345709455338e-06,1.885505344474145e-05,8.031888325273817e-16,4.820499902025128e-15,1.5156903510060599e-15
0.28374999999999995,-4.501486766801799e-14,0.24999999999973044,0.14999999999991512,7.786096359289054e-12,-3.900089934498798e-06,1.6676595762778812e-05,6.501367131836002e-16,3.9096816062400355e-15,1.2301982349471791e-15
0.2849999999999999,-3.624165411220937e-14,0.24999999999978237,0.1499999999999313,6.292634412623429e-12,-7.80383726117132e-06,1.3481651014464534e-05,5.256667458605667e-16,3.169669388070045e-15,9.9961185162644e-16
