x,c1,c2,dc1,dc2,flux1,flux2
-0.925,0.6,2.4328505650742848e-129,-6.624045549321685e-05,2.917459132912892e-05,0.0,0.0
-0.92375,0.6,5.178246793791422e-129,-0.00011998974258992491,2.917459132912892e-05,0.0,0.0
-0.9225,0.6,1.1012240482088484e-128,-6.552678867415877e-05,2.917459132912892e-05,0.0,0.0
-0.92125,0.6,2.3398825304424515e-128,-5.190191797092738e-05,2.917459132912892e-05,0.0,0.0
-0.92,0.6,4.967497360900115e-128,2.80042684461289e-05,2.917459132912892e-05,0.0,0.0
-0.91875,0.6,1.0536739729420592e-127,0.00010053609265580928,2.917459132912892e-05,0.0,0.0
-0.9175,0.6,2.2330563020188453e-127,-8.289256098687958e-05,2.917459132912892e-05,0.0,0.0
-0.91625,0.6,4.7284380345954516e-127,1.225374787739264e-05,2.917459132912892e-05,0.0,0.0
-0.915,0.6,1.0003687923972081e-126,-8.737737846791723e-05,2.917459132912892e-05,0.0,0.0
-0.91375,0.6,2.114592888310743e-126,3.113663916827547e-05,2.917459132912892e-05,0.0,0.0
-0.9125,0.6,4.4659863809224e-126,-2.5918165194373315e-05,2.917459132912892e-05,0.0,0.0
-0.91125,0.6,9.423924792360301e-126,2.0928888174959977e-05,2.917459132912892e-05,0.0,0.0
-0.91,0.6,1.9868716557597482e-125,5.932151106478467e-05,2.917459132912892e-05,0.0,0.0
-0.90875,0.6,4.185344372131257e-125,0.00013796465357384516,2.917459132912892e-05,0.0,0.0
-0.9075,0.6,8.808779872822604e-125,3.292261884413744e-05,2.917459132912892e-05,0.0,0.0
-0.90625,0.6,1.8523510172446208e-124,4.7850991829388785e-05,2.917459132912892e-05,0.0,0.0
-0.905,0.6,3.891827527604913e-124,-0.0001585311337064582,2.917459132912892e-05,0.0,0.0
-0.90375,0.6,8.169706313959083e-124,6.559172989184174e-05,2.917459132912892e-05,0.0,0.0
-0.9025,0.6,1.7134903413914936e-123,4.031817256803054e-05,2.917459132912892e-05,0.0,0.0
-0.90125,0.6,3.590699231816223e-123,8.131163314533603e-05,2.917459132912892e-05,0.0,0.0
-0.9,0.6,7.517931148035124e-123,9.311663764499618e-05,2.917459132912892e-05,0.0,0.0
-0.8987499999999999,0.6,1.5726765146741484e-122,-7.418852801124523e-05,2.917459132912892e-05,0.0,0.0
-0.8975,0.6,3.2870173468964726e-122,-2.1264406780064976e-05,2.917459132912892e-05,0.0,0.0
