x,c1,c2,dc1,dc2,flux1,flux2
-0.855,0.6,-1.7803202462519626e-133,4.780200824141504e-05,2.3365020751953125e-05,0.0,0.0
-0.85375,0.6,-4.125476744977763e-133,-0.00014032070668879896,2.3365020751953125e-05,0.0,0.0
-0.8525,0.6,-9.550248543444392e-133,-0.0001473006729967892,2.3365020751953125e-05,0.0,0.0
-0.8512500000000001,0.6,-2.208612038437948e-132,-8.553222698392346e-05,2.3365020751953125e-05,0.0,0.0
-0.85,0.6,-5.102560208128413e-132,2.231061458587646e-05,2.3365020751953125e-05,0.0,0.0
-0.84875,0.6,-1.1776615471876493e-131,-3.1940529034473e-05,2.3365020751953125e-05,0.0,0.0
-0.8475,0.6,-2.715289984069446e-131,-0.00016796798013150695,2.3365020751953125e-05,0.0,0.0
-0.84625,0.6,-6.254246850848662e-131,8.673918517073616e-05,2.3365020751953125e-05,0.0,0.0
-0.845,0.6,-1.4391186774282768e-130,0.00021275432467460635,2.3365020751953125e-05,0.0,0.0
-0.84375,0.6,-3.3081157967953028e-130,6.1853788793087e-05,2.3365020751953125e-05,0.0,0.0
-0.8425,0.6,-7.59673559776085e-130,-0.0001811235510930419,2.3365020751953125e-05,0.0,0.0
-0.84125,0.6,-1.7427506206221396e-129,-2.860730755608529e-05,2.3365020751953125e-05,0.0,0.0
-0.84,0.6,-3.9939729587456074e-129,-1.5029296875e-05,2.3365020751953125e-05,0.0,0.0
-0.83875,0.6,-9.144002703510624e-129,-0.0002581510250084102,2.3365020751953125e-05,0.0,0.0
-0.8375,0.6,-2.0913592204748863e-128,4.654416814446449e-05,2.3365020751953125e-05,0.0,0.0
-0.8362499999999999,0.6,-4.778391196000588e-128,-1.2852179610636089e-05,2.3365020751953125e-05,0.0,0.0
-0.835,0.6,-1.0906747443657196e-127,8.321259036660195e-05,2.3365020751953125e-05,0.0,0.0
-0.83375,0.6,-2.4869612218485287e-127,0.00014701880624517797,2.3365020751953125e-05,0.0,0.0
-0.8325,0.6,-5.6650361382644084e-127,-7.212286479771137e-06,2.3365020751953125e-05,0.0,0.0
-0.83125,0.6,-1.2891278258156761e-126,-5.525482178200037e-05,2.3365020751953125e-05,0.0,0.0
-0.83,0.6,-2.9305465251973516e-126,-0.0001298946464061737,2.3365020751953125e-05,0.0,0.0
-0.82875,0.6,-6.655187736895773e-126,-5.935702782357111e-05,2.3365020751953125e-05,0.0,0.0
-0.8275,0.6,-1.5098394438289718e-125,4.9665424693375824e-05,2.3365020751953125e-05,0.0,0.0
-0.8262499999999999,0.6,-3.4218400190409685e-125,-0.00013078849918441845,2.3365020751953125e-05,0.0,0.0
-0.825,0.6,-7.747236728800217e-125,1.858320087194441e-05,2.3365020751953125e-05,0.0,0.0
-0.82375,0.6,-1.7522330057064895e-124,-0.00013942209327127785,2.3365020751953125e-05,0.0,0.0
-0.8225,0.6,-3.9590820638789016e-124,1.8422933015972378e-05,2.3365020751953125e-05,0.0,0.0
-0.82125,0.6,-8.936232955219621e-124,0.00011852197011699903,2.3365020751953125e-05,0.0,0.0
-0.8200000000000001,0.6,-2.014983541623914e-123,9.902219772338853e-06,2.3365020751953125e-05,0.0,0.0
-0.81875,0.6,-4.538844263242176e-123,-1.7120133852586152e-05,2.3365020751953125e-05,0.0,0.0
-0.8175,0.6,-1.021352202781087e-122,-1.2833604235202082e-05,2.3365020751953125e-05,0.0,0.0
-0.81625,0.6,-2.295947545156303e-122,4.308375558350236e-05,2.3365020751953125e-05,0.0,0.0
-0.815,0.6,-5.155897679421398e-122,6.2937907576561e-05,2.3365020751953125e-05,0.0,0.0
-0.81375,0.6,-1.1566507091046856e-121,-0.00018013386012753473,2.3365020751953125e-05,0.0,0.0
-0.8125,0.6,-2.5921223111237812e-121,-1.4111865311861038e-05,2.3365020751953125e-05,0.0,0.0
-0.81125,0.6,-5.803149896985053e-121,6.29371020779945e-05,2.3365020751953125e-05,0.0,0.0
-0.81,0.6,-1.2978569804796809e-120,-7.028911113739006e-06,2.3365020751953125e-05,0.0,0.0
-0.80875,0.6,-2.8996417852296542e-120,-1.5781519934534314e-07,2.3365020751953125e-05,0.0,0.0
-0.8075,0.6,-6.471665155818512e-120,-6.969431862235069e-06,2.3365020751953125e-05,0.0,0.0
-0.80625,0.6,-1.442917891605748e-119,-3.286166349425913e-05,2.3365020751953125e-05,0.0,0.0
-0.8049999999999999,0.6,-3.2138144732039785e-119,-4.0128623992204674e-05,2.3365020751953125e-05,0.0,0.0
-0.80375,0.6,-7.1507781326674e-119,-9.985668247099959e-06,2.3365020751953125e-05,0.0,0.0
-0.8025,0.6,-1.589420592560192e-118,-1.904523372650147e-05,2.3365020751953125e-05,0.0,0.0
-0.80125,0.6,-3.529206836845705e-118,-4.7763287939596926e-05,2.3365020751953125e-05,0.0,0.0
-0.8,0.6,-7.828306950526368e-118,-2.0408630371093752e-05,2.3365020751953125e-05,0.0,0.0
-0.79875,0.6,-1.7346455714852028e-117,-6.013406968675554e-05,2.3365020751953125e-05,0.0,0.0
-0.7975,0.6,-3.839772924887234e-117,-0.00015871977157890795,2.3365020751953125e-05,0.0,0.0
-0.79625,0.6,-8.490864891760707e-117,-3.81423061224632e-05,2.3365020751953125e-05,0.0,0.0
-0.7949999999999999,0.6,-1.8756406231361272e-116,3.840284138917923e-05,2.3365020751953125e-05,0.0,0.0
-0.79375,0.6,-4.139027910313833e-116,3.7569089327007514e-05,2.3365020751953125e-05,0.0,0.0
-0.7925,0.6,-9.124263478958463e-116,4.0913470797240744e-05,2.3365020751953125e-05,0.0,0.0
-0.79125,0.6,-2.0093136382350666e-115,9.311929715331645e-05,2.3365020751953125e-05,0.0,0.0
-0.79,0.6,-4.420259954547505e-115,-0.00013251495003700257,2.3365020751953125e-05,0.0,0.0
-0.7887500000000001,0.6,-9.713992580968123e-115,-8.370969130657613e-05,2.3365020751953125e-05,0.0,0.0
-0.7875,0.6,-2.1325406328865123e-114,-7.344757439568639e-05,2.3365020751953125e-05,0.0,0.0
-0.78625,0.6,-4.6767716577977854e-114,3.1358581609092654e-05,2.3365020751953125e-05,0.0,0.0
-0.785,0.6,-1.0245756591831799e-113,-3.065873712301254e-05,2.3365020751953125e-05,0.0,0.0
-0.78375,0.6,-2.2422840713406485e-113,7.231138690840449e-06,2.3365020751953125e-05,0.0,0.0
-0.7825,0.6,-4.9021395686971697e-113,-9.019085746258499e-06,2.3365020751953125e-05,0.0,0.0
-0.78125,0.6,-1.0706040131979377e-112,4.0569560951553285e-05,2.3365020751953125e-05,0.0,0.0
-0.78,0.6,-2.335715430244096e-112,2.8491344451904295e-05,2.3365020751953125e-05,0.0,0.0
-0.77875,0.6,-5.090478091389178e-112,4.5775471937377003e-05,2.3365020751953125e-05,0.0,0.0
-0.7775,0.6,-1.1082672708886592e-111,-7.991692360490561e-05,2.3365020751953125e-05,0.0,0.0
-0.77625,0.6,-2.4103352260541678e-111,2.284882670734078e-05,2.3365020751953125e-05,0.0,0.0
-0.775,0.6,-5.236692882274871e-111,-1.8605999648571015e-05,2.3365020751953125e-05,0.0,0.0
-0.7737499999999999,0.6,-1.136535981897751e-110,0.00010791522661224007,2.3365020751953125e-05,0.0,0.0
-0.7725,0.6,-2.4640834705128224e-110,-1.9071567300707107e-05,2.3365020751953125e-05,0.0,0.0
-0.77125,0.6,-5.336708642535705e-110,0.00014894679739139972,2.3365020751953125e-05,0.0,0.0
-0.77,0.6,-1.1546148382275065e-109,-7.048273921012878e-05,2.3365020751953125e-05,0.0,0.0
