x,c1,c2,c3,dc1,dc2,dc3,flux1,flux2,flux3
-0.9675,0.6,-1.1745551932867441e-154,-5.3241574052366266e-154,-3.679490013974465e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.96625,0.6,-2.8317072444227823e-154,-1.2835884751117988e-153,-4.869492433304247e-06,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.965,0.6,-6.82070396951863e-154,-3.091766292107655e-153,-9.141401302262463e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.96375,0.6,-1.6414048282042651e-153,-7.440346542268805e-153,5.051733713977151e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9625,0.6,-3.946459033023719e-153,-1.7888958479967037e-152,8.640353776392517e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.96125,0.6,-9.47991856830038e-153,-4.297165338413758e-152,-3.0674339598972144e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.96,0.6,-2.275131265631919e-152,-1.0312973834719048e-151,-7.243864877922209e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.95875,0.6,-5.4552276960619525e-152,-2.4728076723210712e-151,-8.638362398949763e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9575,0.6,-1.3068435683513744e-151,-5.923809201723236e-151,-4.109045593215049e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.95625,0.6,-3.127795515145363e-151,-1.4178027349593978e-150,4.739319832371321e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.955,0.6,-7.479229357519269e-151,-3.3902701717975375e-150,8.668959647732487e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.95375,0.6,-1.7868118608537002e-150,-8.099464082320387e-150,-5.286719044721936e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9525,0.6,-4.2648523725150853e-150,-1.933220803172916e-149,-7.517541878465857e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.95125,0.6,-1.0170261120538276e-149,-4.610091664282042e-149,0.00013137104717065426,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.95,0.6,-2.4230526586757547e-149,-1.098348875361651e-148,-8.68513217250676e-06,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.94875,0.6,-5.767611143546043e-149,-2.6144083952757505e-148,7.144386049887211e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9475,0.6,-1.3716117123037842e-148,-6.217397613079796e-148,9.56257932049571e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
